,solar_A1,solar_A2,solar_B,solar_X1,solar_X2,solar_X3,solar_X4
0,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
1,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
2,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
3,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
4,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
5,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
6,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
7,0.21909729,0.21909729,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
8,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
9,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
10,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
11,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
12,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
13,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
14,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
15,0.10219698,0.10219698,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
16,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
17,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
18,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
19,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
20,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
21,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
22,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
23,0.11160606,0.11160606,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
24,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
25,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
26,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
27,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
28,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
29,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
30,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
31,0.03816386,0.03816386,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
32,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
33,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
34,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
35,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
36,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
37,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
38,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
39,0.02213583,0.02213583,0.21437244,0.14019172,0.14019172,0.14019172,0.14019172
40,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
41,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
42,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
43,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
44,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
45,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
46,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
47,0.21909729,0.21909729,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
48,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
49,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
50,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
51,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
52,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
53,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
54,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
55,0.10219698,0.10219698,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
56,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
57,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
58,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
59,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
60,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
61,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
62,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
63,0.11160606,0.11160606,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
64,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
65,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
66,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
67,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
68,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
69,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
70,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
71,0.03816386,0.03816386,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
72,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
73,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
74,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
75,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
76,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
77,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
78,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
79,0.02213583,0.02213583,0.15265304,0.14019172,0.14019172,0.14019172,0.14019172
80,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
81,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
82,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
83,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
84,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
85,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
86,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
87,0.21909729,0.21909729,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
88,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
89,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
90,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
91,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
92,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
93,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
94,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
95,0.10219698,0.10219698,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
96,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
97,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
98,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
99,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
100,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
101,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
102,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
103,0.11160606,0.11160606,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
104,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
105,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
106,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
107,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
108,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
109,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
110,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
111,0.03816386,0.03816386,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
112,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
113,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
114,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
115,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
116,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
117,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
118,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
119,0.02213583,0.02213583,0.05997342,0.14019172,0.14019172,0.14019172,0.14019172
120,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
121,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
122,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
123,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
124,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
125,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
126,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
127,0.21909729,0.21909729,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
128,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
129,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
130,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
131,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
132,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
133,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
134,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
135,0.10219698,0.10219698,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
136,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
137,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
138,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
139,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
140,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
141,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
142,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
143,0.11160606,0.11160606,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
144,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
145,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
146,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
147,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
148,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
149,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
150,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
151,0.03816386,0.03816386,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
152,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
153,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
154,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
155,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
156,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
157,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
158,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
159,0.02213583,0.02213583,0.21437244,0.08852139,0.08852139,0.08852139,0.08852139
160,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
161,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
162,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
163,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
164,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
165,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
166,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
167,0.21909729,0.21909729,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
168,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
169,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
170,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
171,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
172,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
173,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
174,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
175,0.10219698,0.10219698,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
176,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
177,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
178,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
179,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
180,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
181,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
182,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
183,0.11160606,0.11160606,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
184,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
185,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
186,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
187,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
188,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
189,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
190,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
191,0.03816386,0.03816386,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
192,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
193,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
194,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
195,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
196,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
197,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
198,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
199,0.02213583,0.02213583,0.15265304,0.08852139,0.08852139,0.08852139,0.08852139
200,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
201,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
202,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
203,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
204,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
205,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
206,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
207,0.21909729,0.21909729,0.05997342,0.08852139,0.08852139,0.08852139,0.08852139
